x,y,ent1_id,ent2_id,ent1,ent2,lang,type
84.97907,45.372032,55,38,Columbia_Pictures,Columbia_Pictures,ln,Company
1.1766281,-9.685377,56,267,Rick_Rubin,"Рубин,_Рик",en,MusicalArtist
38.238228,25.119,57,110,Австралия,Australia,ln,Country
46.47388,30.723534,58,53,Ottoman_Empire,Османская_империя,en,Country
31.14853,-29.418865,59,12,Лондон,London,ln,Settlement
6.3820796,-39.95419,60,37,Industrial_metal,Индастриал-метал,en,MusicGenre
12.756672,29.335773,61,122,Макс_Мартин,Max_Martin,ln,MusicalArtist
29.774706,-38.829384,62,217,Paris,Париж,en,Settlement
-35.652027,-41.005714,63,120,Бельгия,Belgium,ln,Country
10.469603,-53.10429,64,85,The_Beatles,The_Beatles,en,Band
-58.50651,26.430536,65,134,Уругвай,Uruguay,ln,Country
81.39914,43.011105,66,151,Universal_Studios,Universal_Studios,en,Company
-1.0500599,-39.86157,67,44,Queen,Queen_(band),ln,Band
-19.389479,-28.670671,68,99,George_Harrison,"Харрисон,_Джордж",en,MusicalArtist
-53.456844,-58.351284,69,86,Чехословакия,Czechoslovakia,ln,Country
-4.532248,-65.18004,70,135,Eminem,Эминем,en,MusicalArtist
-31.334211,-0.55778766,71,40,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,ln,Company
-23.043392,101.1832,72,51,Uzbekistan,Узбекистан,en,Country
42.417576,34.631954,73,228,Испанский_язык,Spanish_language,ln,Language
-18.820946,-69.72998,74,219,Mariah_Carey,"Кэри,_Мэрайя",en,MusicalArtist
-39.295784,-48.35143,75,92,Венгрия,Hungary,ln,Country
-45.02833,-30.534077,76,153,Austria,Австрия,en,Country
-48.59772,51.78988,77,118,Ломбардия,Lombardy,ln,AdministrativeRegion
26.076422,-14.541821,78,45,Black_metal,Блэк-метал,en,MusicGenre
10.7500305,-28.941822,79,190,Warner_Music_Group,Warner_Music_Group,ln,Company
83.15717,43.325592,80,1053,Walt_Disney_Studios_Motion_Pictures,Walt_Disney_Studios_Motion_Pictures,en,Company
42.170265,33.0219,81,234,Русский_язык,Russian_language,ln,Language
28.647472,43.33002,82,179,United_Artists,United_Artists,en,Company
-42.299164,-46.394276,83,302,Португалия,Portugal,ln,Country
-54.878654,31.697884,84,47,Argentina,Аргентина,en,Country
10.469603,-53.10429,85,64,The_Beatles,The_Beatles,ln,Band
-53.456844,-58.351284,86,69,Czechoslovakia,Чехословакия,en,Country
-92.24315,-34.084087,87,88,Колумбия,Colombia,ln,Country
-92.24315,-34.084087,88,87,Colombia,Колумбия,en,Country
-52.219315,-62.125088,89,116,Болгария,Bulgaria,ln,Country
4.911234,-62.75236,90,145,Linkin_Park,Linkin_Park,en,Band
10.789598,-28.994682,91,104,Universal_Music_Group,Universal_Music_Group,ln,Company
-39.295784,-48.35143,92,75,Hungary,Венгрия,en,Country
-19.787945,-27.236412,93,136,"Мартин,_Джордж_Генри",George_Martin,ln,MusicalArtist
-7.1284966,-26.580051,94,279,Ukraine,Украина,en,Country
-31.837349,-35.4395,95,52,Швеция,Sweden,ln,Country
-20.788115,-18.974108,96,403,David_Bowie,"Боуи,_Дэвид",en,MusicalArtist
41.42769,32.47436,97,1052,Японский_язык,Japanese_language,ln,Language
44.85191,31.57622,98,43,Russian_Empire,Российская_империя,en,Country
-19.390171,-28.66937,99,68,"Харрисон,_Джордж",George_Harrison,ln,MusicalArtist
92.83457,39.575424,100,305,Stockholm,Стокгольм,en,Settlement
30.351067,19.826347,101,192,Канада,Canada,ln,Country
53.766483,-8.014509,102,233,World_War_II,Вторая_мировая_война,en,MilitaryConflict
-50.367924,-59.797413,103,54,Эстония,Estonia,ln,Country
10.789598,-28.994682,104,91,Universal_Music_Group,Universal_Music_Group,en,Company
-51.422527,-57.417095,105,158,Румыния,Romania,ln,Country
-30.11504,-39.963078,106,119,Norway,Норвегия,en,Country
-50.366173,39.662575,107,168,Каталония,Catalonia,ln,PopulatedPlace
-12.532559,-62.984722,108,291,Metallica,Metallica,en,Band
30.77846,26.619967,109,24,Польша,Poland,ln,Country
38.238228,25.119,110,57,Australia,Австралия,en,Country
-13.199993,105.54129,111,242,Аквитания_(регион),Aquitaine,ln,AdministrativeRegion
18.266922,59.729168,112,49,Chile,Чили,en,Country
87.53918,-12.560541,113,27294,Оскар_(кинопремия),Academy_Awards,ln,Award
22.531595,-80.37652,114,139,Depeche_Mode,Depeche_Mode,en,Band
-10.893633,-67.5094,115,220,Гранж,Grunge,ln,MusicGenre
-52.219315,-62.125088,116,89,Bulgaria,Болгария,en,Country
24.878633,-1.921763,117,148,Dr._Dre,Dr._Dre,ln,MusicalArtist
-48.59772,51.78988,118,77,Lombardy,Ломбардия,en,AdministrativeRegion
-30.11504,-39.963078,119,106,Норвегия,Norway,ln,Country
-35.653988,-41.00659,120,63,Belgium,Бельгия,en,Country
25.312204,-24.025803,121,186,New_Line_Cinema,New_Line_Cinema,ln,Company
12.757017,29.335012,122,61,Max_Martin,Макс_Мартин,en,MusicalArtist
-11.223774,14.5187645,123,182,Dr._Luke,Dr._Luke,ln,MusicalArtist
-36.35402,-84.00737,124,681,Vienna,Вена,en,City
51.211483,42.954494,125,132,Sony_Music_Entertainment,Sony_Music_Entertainment,ln,Company
15.554269,55.944077,126,283,Prague,Прага,en,City
-30.867538,-43.034008,127,128,Греция,Greece,ln,Country
-30.867538,-43.034008,128,127,Greece,Греция,en,Country
32.040478,24.489677,129,180,Нидерланды,Netherlands,ln,Country
-4.3368716,-72.9902,130,181,ABBA,ABBA,en,Band
42.003746,11.207992,131,280,Мексика,Mexico,ln,Country
51.209957,42.95647,132,125,Sony_Music_Entertainment,Sony_Music_Entertainment,en,Company
35.401913,24.515234,133,470,Корсика,Corsica,ln,AdministrativeRegion
-58.50651,26.430536,134,65,Uruguay,Уругвай,en,Country
-4.532211,-65.180305,135,70,Эминем,Eminem,ln,MusicalArtist
-19.845495,-27.279018,136,93,George_Martin,"Мартин,_Джордж_Генри",en,MusicalArtist
-45.16989,5.5276346,137,266,Арагон,Aragon,ln,PopulatedPlace
-45.809772,-12.0528755,138,185,Björn_Ulvaeus,"Ульвеус,_Бьорн",en,MusicalArtist
22.531595,-80.37652,139,114,Depeche_Mode,Depeche_Mode,ln,Band
-19.967096,12.425046,140,159,Benny_Andersson,"Андерссон,_Бенни",en,MusicalArtist
-20.985361,102.29879,141,152,Казахстан,Kazakhstan,ln,Country
34.75661,17.131617,142,281,Rome,Рим,en,Settlement
-25.452028,-2.0898993,143,206,"Родригес,_Роберт",Robert_Rodriguez,ln,Artist
-58.625893,55.42434,144,825,Moscow,Москва,en,AdministrativeRegion
4.911156,-62.751392,145,90,Linkin_Park,Linkin_Park,ln,Band
6.5758133,-88.9718,146,191,Elvis_Presley,"Пресли,_Элвис",en,MusicalArtist
-2.1124403,-83.08171,147,512,Sony_BMG,Sony_BMG,ln,Company
24.878633,-1.921763,148,117,Dr._Dre,Dr._Dre,en,MusicalArtist
-52.469498,-67.49012,149,274,Валенсия_(автономное_сообщество),Valencian_Community,ln,PopulatedPlace
3.0958815,-11.538941,150,431,Marilyn_Manson_(band),Marilyn_Manson,en,Band
81.39914,43.011105,151,66,Universal_Studios,Universal_Studios,ln,Company
-20.985235,102.29853,152,141,Kazakhstan,Казахстан,en,Country
-45.02825,-30.533821,153,76,Австрия,Austria,ln,Country
27.435005,2.6085577,154,567,Berlin,Берлин,en,Band
6.3057685,-39.2961,155,270,Металкор,Metalcore,ln,MusicGenre
-51.36695,-55.873386,156,557,Serbia,Сербия,en,Country
-39.4536,21.762983,157,12720,Лотарингия,Lorraine,ln,PopulatedPlace
-51.42251,-57.416145,158,105,Romania,Румыния,en,Country
-19.967096,12.425046,159,140,"Андерссон,_Бенни",Benny_Andersson,ln,MusicalArtist
-56.479946,29.252071,160,391,Montevideo,Монтевидео,en,City
-3.0777159,-19.34516,161,482,"Спилберг,_Стивен",Steven_Spielberg,ln,Artist
17.00454,-92.1172,162,225,Pet_Shop_Boys,Pet_Shop_Boys,en,Band
-59.178852,27.07053,163,238,Парагвай,Paraguay,ln,Country
-3.73332,-27.383564,164,249,Madonna_(entertainer),Мадонна_(певица),en,MusicalArtist
6.590635,78.79743,165,282,Мёрт_и_Мозель,Meurthe-et-Moselle,ln,PopulatedPlace
-30.443188,-91.99412,166,337,AKB48,AKB48,en,Band
85.64044,39.927868,167,1776,Miramax_Films,Miramax,ln,Company
-50.366173,39.662575,168,107,Catalonia,Каталония,en,PopulatedPlace
-6.075204,-20.68448,169,398,Ирландия,Republic_of_Ireland,ln,Country
-12.9386,-41.837265,170,289,Snoop_Dogg,Snoop_Dogg,en,MusicalArtist
-27.704369,27.771223,171,318,Атлантические_Пиренеи,Pyrénées-Atlantiques,ln,PopulatedPlace
-26.734343,98.27841,172,465,Istanbul,Стамбул,en,City
-47.9641,-77.50831,173,196,Азербайджан,Azerbaijan,ln,Country
7.224484,-80.15097,174,197,U2,U2,en,Band
36.720737,22.486633,175,294,Чехия,Czech_Republic,ln,Country
-15.87126,-73.05014,176,265,Britney_Spears,"Спирс,_Бритни",en,MusicalArtist
53.158497,27.699432,177,210,Бангладеш,Bangladesh,ln,Country
-21.54161,-54.86269,178,381,Rammstein,Rammstein,en,Band
28.647472,43.33002,179,82,United_Artists,United_Artists,ln,Company
32.040478,24.489677,180,129,Netherlands,Нидерланды,en,Country
-4.336729,-72.99033,181,130,ABBA,ABBA,ln,Band
-11.223774,14.5187645,182,123,Dr._Luke,Dr._Luke,en,MusicalArtist
31.774965,32.123753,183,492,Хинди,Hindi,ln,Language
15.078729,-59.87886,184,357,Nine_Inch_Nails,Nine_Inch_Nails,en,Band
-45.809772,-12.0528755,185,138,"Ульвеус,_Бьорн",Björn_Ulvaeus,ln,MusicalArtist
25.312204,-24.025803,186,121,New_Line_Cinema,New_Line_Cinema,en,Company
20.142632,56.966717,187,28,Лос-Анджелес,Los_Angeles,ln,City
-33.171654,-37.2605,188,195,Denmark,Дания,en,Album
-29.63904,33.331123,189,334,Верхняя_Гаронна,Haute-Garonne,ln,PopulatedPlace
10.74992,-28.940235,190,79,Warner_Music_Group,Warner_Music_Group,en,Company
6.5758133,-88.9718,191,146,"Пресли,_Элвис",Elvis_Presley,ln,MusicalArtist
30.351406,19.825264,192,101,Canada,Канада,en,Country
-59.13702,25.23063,193,246,Перу,Peru,ln,Country
-24.836843,39.41967,194,1163,Budapest,Будапешт,en,City
-33.171394,-37.259865,195,188,Дания,Denmark,ln,Album
-47.96449,-77.51473,196,173,Azerbaijan,Азербайджан,en,Country
7.224484,-80.15097,197,174,U2,U2,ln,Band
8.0464945,-61.957996,198,209,Ringo_Starr,Ринго_Старр,en,MusicalArtist
84.16419,44.044285,199,19926,Touchstone_Pictures,Touchstone_Pictures,ln,Company
36.781097,-9.830451,200,253,Iron_Maiden,Iron_Maiden,en,Band
-37.312374,-34.62671,201,230,Принс,Prince_(musician),ln,MusicalArtist
37.422337,30.90946,202,1035,China,Китайская_Народная_Республика,en,Country
-2.9892027,47.23558,203,494,Гана,Ghana,ln,Country
40.88111,25.644094,204,587,South_Korea,Республика_Корея,en,Country
-106.59685,-10.180165,205,366,Эна_(департамент),Aisne,ln,PopulatedPlace
-25.452028,-2.0898993,206,143,Robert_Rodriguez,"Родригес,_Роберт",en,Artist
34.063168,15.432981,207,244,Турция,Turkey,ln,Country
-12.525559,-28.150488,208,1293,Michael_Jackson,"Джексон,_Майкл",en,MusicalArtist
8.046544,-61.95771,209,198,Ринго_Старр,Ringo_Starr,ln,MusicalArtist
53.158497,27.699432,210,177,Bangladesh,Бангладеш,en,Country
52.984344,30.657984,211,312,Израиль,Israel,ln,Country
18.48808,-7.069704,212,367,Kanye_West,"Уэст,_Канье",en,MusicalArtist
-30.4172,-59.48093,213,342,Верхний_Рейн,Haut-Rhin,ln,PopulatedPlace
29.472103,-34.848133,214,255,Green_Day,Green_Day,en,Band
28.872509,92.020065,215,374,Харьюмаа,Harju_County,ln,PopulatedPlace
18.748491,-28.28745,216,245,Black_Sabbath,Black_Sabbath,en,Band
29.774706,-38.829384,217,62,Париж,Paris,ln,Settlement
41.565144,33.206497,218,41,German_language,Немецкий_язык,en,Language
-18.820946,-69.72998,219,74,"Кэри,_Мэрайя",Mariah_Carey,ln,MusicalArtist
-10.893633,-67.5094,220,115,Grunge,Гранж,en,MusicGenre
3.4364777,17.865103,221,296,"Аллен,_Вуди",Woody_Allen,ln,Artist
57.031986,47.92983,222,399,Warsaw,Варшава,en,Album
19.84242,-24.74989,223,236,Red_Hot_Chili_Peppers,Red_Hot_Chili_Peppers,ln,Band
-12.294107,-61.0218,224,455,Megadeth,Megadeth,en,Band
17.00454,-92.1172,225,162,Pet_Shop_Boys,Pet_Shop_Boys,ln,Band
-5.3100376,-1.985151,226,229,James_Newton_Howard,"Ховард,_Джеймс_Ньютон",en,MusicalArtist
93.241425,-26.200792,227,500,Dimension_Films,Dimension_Films,ln,Company
41.71564,33.60339,228,73,Spanish_language,Испанский_язык,en,Language
-5.309988,-1.9849877,229,226,"Ховард,_Джеймс_Ньютон",James_Newton_Howard,ln,MusicalArtist
-6.780624,-15.698193,230,201,Prince_(musician),Принс,en,MusicalArtist
44.460636,32.759583,231,50,Россия,Russia,ln,Country
-41.73408,-65.0606,232,513,Mylène_Farmer,"Фармер,_Милен",en,MusicalArtist
53.5813,-8.746923,233,102,Вторая_мировая_война,World_War_II,ln,MilitaryConflict
41.463825,33.511684,234,81,Russian_language,Русский_язык,en,Language
11.157058,20.797823,235,298,Will.i.am,Will.i.am,ln,MusicalArtist
19.840343,-24.750902,236,223,Red_Hot_Chili_Peppers,Red_Hot_Chili_Peppers,en,Band
-107.14543,-9.434119,237,390,Кальвадос_(департамент),Calvados_(department),ln,PopulatedPlace
-59.187923,27.070446,238,163,Paraguay,Парагвай,en,Country
-73.52295,58.46294,239,436,Воеводина,Vojvodina,ln,PopulatedPlace
40.312485,55.459282,240,509,Chicago,Чикаго,en,City
50.020218,3.5565374,241,496,Великая_Отечественная_война,Eastern_Front_(World_War_II),ln,MilitaryConflict
-38.783875,22.882973,242,111,Aquitaine,Аквитания_(регион),en,AdministrativeRegion
28.092392,20.785835,243,340,King_Records,King_Records_(Japan),ln,RecordLabel
34.063168,15.432981,244,207,Turkey,Турция,en,Country
18.748375,-28.285345,245,216,Black_Sabbath,Black_Sabbath,ln,Band
-59.13702,25.23063,246,193,Peru,Перу,en,Country
-3.611437,-31.128016,247,466,"Фицджеральд,_Элла",Ella_Fitzgerald,ln,MusicalArtist
-27.12309,-60.469128,248,597,Paul_McCartney,"Маккартни,_Пол",en,MusicalArtist
-3.582754,-27.027979,249,164,Мадонна_(певица),Madonna_(entertainer),ln,MusicalArtist
-22.320618,-20.509146,250,761,David_Guetta,"Гетта,_Дэвид",en,MusicalArtist
26.832283,-24.018648,251,256,New_Order,New_Order_(band),ln,Band
17.682127,-75.06494,252,319,Pink_Floyd,Pink_Floyd,en,Band
36.781097,-9.830451,253,200,Iron_Maiden,Iron_Maiden,ln,Band
84.03775,44.983936,254,335,TriStar_Pictures,TriStar_Pictures,en,Company
29.472507,-34.847614,255,214,Green_Day,Green_Day,ln,Band
26.807135,-23.971994,256,251,New_Order_(band),New_Order,en,Band
-55.85916,-71.35135,257,604,Gaumont,Gaumont_Film_Company,ln,Company
3.0959036,-11.538667,258,425,Marilyn_Manson,Мэрилин_Мэнсон,en,Band
5.5749335,-30.055798,259,382,Рокабилли,Rockabilly,ln,MusicGenre
-15.068723,48.081894,260,361,Korn,Korn,en,Band
-55.14602,34.66722,261,324,Венесуэла,Venezuela,ln,Country
5.144963,3.1339247,262,749,Jimmy_Jam_and_Terry_Lewis,Джимми_Джем_и_Терри_Льюис,en,MusicalArtist
-64.58377,28.463509,263,620,Антьокия,Antioquia_Department,ln,PopulatedPlace
11.802075,-61.367508,264,295,Deep_Purple,Deep_Purple,en,Band
-15.87126,-73.05014,265,176,"Спирс,_Бритни",Britney_Spears,ln,MusicalArtist
-45.170647,5.5278115,266,137,Aragon,Арагон,en,PopulatedPlace
1.1766281,-9.685377,267,56,"Рубин,_Рик",Rick_Rubin,ln,MusicalArtist
-32.989025,15.236977,268,559,Saint_Petersburg,Санкт-Петербург,en,AdministrativeRegion
31.417852,21.486578,269,488,Новая_Зеландия,New_Zealand,ln,Country
6.485741,-39.381012,270,155,Metalcore,Металкор,en,MusicGenre
5.1152735,31.021173,271,802,"Иствуд,_Клинт",Clint_Eastwood,ln,Artist
-14.715342,87.34798,272,4361,Yasushi_Akimoto,"Акимото,_Ясуси",en,MusicalArtist
-25.478031,-0.9987865,273,396,"Де_Ниро,_Роберт",Robert_De_Niro,ln,Artist
-52.545063,-66.806175,274,149,Valencian_Community,Валенсия_(автономное_сообщество),en,PopulatedPlace
-58.6911,35.654434,275,610,Эстремадура,Extremadura,ln,PopulatedPlace
-19.873041,-63.524364,276,583,Timbaland,Тимбалэнд,en,MusicalArtist
-60.59472,25.783094,277,432,Эквадор,Ecuador,ln,Single
12.8976,-19.566536,278,321,Muse_(band),Muse,en,Band
-7.128387,-26.581396,279,94,Украина,Ukraine,ln,Country
42.003746,11.207992,280,131,Mexico,Мексика,en,Country
34.75668,17.131687,281,142,Рим,Rome,ln,Settlement
7.0520344,78.37222,282,165,Meurthe-et-Moselle,Мёрт_и_Мозель,en,PopulatedPlace
15.554267,55.944283,283,126,Прага,Prague,ln,City
23.190556,-6.664568,284,623,Brooklyn,Бруклин,en,City
50.031605,32.68272,285,360,Египет,Egypt,ln,Country
-25.330797,95.355606,286,539,Baku,Баку,en,Settlement
46.288776,26.352203,287,406,Гражданская_война_в_России,Russian_Civil_War,ln,MilitaryConflict
49.90055,-27.638388,288,543,The_Weeknd,The_Weeknd,en,MusicalArtist
-12.9386,-41.837265,289,170,Snoop_Dogg,Snoop_Dogg,ln,MusicalArtist
-41.10171,-19.281372,290,303,Hans_Zimmer,"Циммер,_Ханс",en,MusicalArtist
-12.532559,-62.984722,291,108,Metallica,Metallica,ln,Band
30.281424,24.769634,292,435,Finland,Финляндия,en,Country
85.21085,41.73636,293,2314,DreamWorks,DreamWorks,ln,Company
37.232555,22.42083,294,175,Czech_Republic,Чехия,en,Country
11.802075,-61.367508,295,264,Deep_Purple,Deep_Purple,ln,Band
3.4364777,17.865103,296,221,Woody_Allen,"Аллен,_Вуди",en,Artist
-18.020008,56.404606,297,1840,Danja,Danja_(record_producer),ln,MusicalArtist
11.157189,20.79796,298,235,Will.i.am,Will.i.am,en,MusicalArtist
21.006971,-71.30999,299,308,50_Cent,50_Cent,ln,MusicalArtist
-62.05719,34.399044,300,3715,Sporting_Clube_de_Portugal,"Спортинг_(футбольный_клуб,_Лиссабон)",en,SoccerClub
31.518595,23.843914,301,316,Швейцария,Switzerland,ln,Country
-42.299164,-46.394276,302,83,Portugal,Португалия,en,Country
-41.101303,-19.281633,303,290,"Циммер,_Ханс",Hans_Zimmer,ln,MusicalArtist
-58.857487,37.268578,304,925,Madrid,Мадрид,en,Settlement
92.83457,39.575424,305,100,Стокгольм,Stockholm,ln,Settlement
-16.32666,56.740673,306,349,Iran,Иран,en,Country
-31.109919,20.099241,307,326,"Резнор,_Трент",Trent_Reznor,ln,MusicalArtist
21.006971,-71.30999,308,299,50_Cent,50_Cent,en,MusicalArtist
-52.96219,-1.8847078,309,404,"Морриконе,_Эннио",Ennio_Morricone,ln,MusicalArtist
-65.08831,-46.968624,310,605,Lisbon,Лиссабон,en,PopulatedPlace
35.387318,24.521196,311,528,Верхняя_Корсика,Haute-Corse,ln,PopulatedPlace
52.98461,30.657772,312,211,Israel,Израиль,en,Country
-53.05623,38.600365,313,876,Андалусия,Andalusia,ln,PopulatedPlace
64.26309,49.591892,314,675,Copenhagen,Копенгаген,en,Settlement
-31.351088,-67.35099,315,560,"Хьюстон,_Джон",John_Huston,ln,Artist
31.518595,23.843914,316,301,Switzerland,Швейцария,en,Country
-106.32446,-10.009958,317,646,Изер_(департамент),Isère,ln,PopulatedPlace
-28.050798,27.90603,318,171,Pyrénées-Atlantiques,Атлантические_Пиренеи,en,PopulatedPlace
17.682112,-75.06659,319,252,Pink_Floyd,Pink_Floyd,ln,Band
-2.3552299,-36.356506,320,443,Lady_Gaga,Леди_Гага,en,MusicalArtist
12.994811,-19.996595,321,278,Muse,Muse_(band),ln,Band
-28.409615,-38.299725,322,449,Belarus,Белоруссия,en,Country
29.836926,-66.30089,323,336,Coldplay,Coldplay,ln,Band
-55.14602,34.66722,324,261,Venezuela,Венесуэла,en,Country
-9.351531,-3.3680224,325,692,"Франко,_Джеймс",James_Franco,ln,Artist
-31.109919,20.099241,326,307,Trent_Reznor,"Резнор,_Трент",en,MusicalArtist
41.599216,33.497204,327,836,Польский_язык,Polish_language,ln,Language
4.0635633,41.66936,328,1193,Slayer,Slayer,en,Band
-67.737976,-48.82188,329,734,Гондурас,Honduras,ln,Country
19.535599,12.282497,330,655,Rob_Zombie,Роб_Зомби,en,MusicalArtist
-20.725136,12.786711,331,506,Бенни_Бланко,Benny_Blanco,ln,MusicalArtist
11.512663,-18.205168,332,703,Nirvana_(band),Nirvana,en,Band
-57.07725,-55.917164,333,476,Алжир,Algeria,ln,Country
-29.137144,32.69669,334,189,Haute-Garonne,Верхняя_Гаронна,en,PopulatedPlace
84.03775,44.983936,335,254,TriStar_Pictures,TriStar_Pictures,ln,Company
29.836926,-66.30089,336,323,Coldplay,Coldplay,en,Band
-30.443188,-91.99412,337,166,AKB48,AKB48,ln,Band
-3.3689196,-70.96764,338,813,Rihanna,Рианна,en,MusicalArtist
3.3861816,32.000366,339,720,"Тарантино,_Квентин",Quentin_Tarantino,ln,Artist
28.149853,20.77331,340,243,King_Records_(Japan),King_Records,en,RecordLabel
41.465126,-32.398018,341,454,Стинг,Sting_(musician),ln,MusicalArtist
-25.956537,34.83584,342,213,Haut-Rhin,Верхний_Рейн,en,PopulatedPlace
47.834553,-29.609764,343,700,Роскошные_моли,Cosmopterigidae,ln,Insect
-46.843327,-49.645042,344,707,Croatia,Хорватия,en,Country
-50.896477,-58.48015,345,352,Литва,Lithuania,ln,Country
44.25484,5.85682,346,859,Athens,Афины,en,AdministrativeRegion
-106.40509,-9.903933,347,982,Крёз_(департамент),Creuse,ln,PopulatedPlace
22.428543,30.425306,348,801,Sydney,Сидней,en,City
-16.326649,56.740055,349,306,Иран,Iran,ln,Country
-58.311802,37.16491,350,2105,Real_Madrid_C.F.,Реал_Мадрид_(футбольный_клуб),en,SoccerClub
3.015276,18.352581,351,810,"Делон,_Ален",Alain_Delon,ln,Artist
-50.896297,-58.4805,352,345,Lithuania,Литва,en,Country
-28.861345,28.836239,353,652,Верхние_Пиренеи,Hautes-Pyrénées,ln,PopulatedPlace
-16.620592,-62.072987,354,4041,Lenny_Kravitz,"Кравиц,_Ленни",en,MusicalArtist
-23.138542,-71.17674,355,2192,RCA,RCA,ln,Company
-10.946671,-30.790443,356,489,Janet_Jackson,"Джексон,_Джанет",en,MusicalArtist
15.078729,-59.87886,357,184,Nine_Inch_Nails,Nine_Inch_Nails,ln,Band
9.360169,-22.98218,358,459,Garbage_(band),Garbage,en,Band
82.05219,47.95689,359,1236,Lionsgate,Lionsgate,ln,Company
50.03131,32.682575,360,285,Egypt,Египет,en,Country
-15.068723,48.081894,361,260,Korn,Korn,ln,Band
-9.115306,17.016382,362,2937,Brian_Eno,"Ино,_Брайан",en,MusicalArtist
-25.700394,68.148186,363,694,Hyposmocoma,Hyposmocoma,ln,Species
-0.909558,-73.53331,364,497,Beyoncé,Бейонсе,en,MusicalArtist
-1.8528256,-5.655907,365,748,"Чаплин,_Чарльз",Charlie_Chaplin,ln,Artist
23.167597,75.72656,366,205,Aisne,Эна_(департамент),en,PopulatedPlace
18.48808,-7.069704,367,212,"Уэст,_Канье",Kanye_West,ln,MusicalArtist
40.007267,27.415152,368,369,Seoul,Сеул,en,City
